"","global.balance.Taxa","global.balance.Group"
"1","X83b3780d81b53c75005807be459eb58c","NUM"
"2","X3a2c7d75cfe5ecf2bb7365399890fdb4","DEN"
"3","f7e4d6e9e0a0370a86c8c5fd06c3abbb","DEN"
"4","X3e5948251286e38076a2b64de3ce2c04","NUM"
"5","X0c897461dd87a51b819cb5cd2673b1cc","DEN"
"6","X53976109a60d93a15b345e47740ea7bd","DEN"
"7","e6463a720ccb096471a4b7b4ca2757b0","DEN"
"8","X66dab50962e1791cd3e6ab748e873c55","DEN"
"9","ed9923136d584bc3ff8524cd9eebdc93","NUM"
"10","c752f8a0b6dc047724cdb7f5f861aa35","DEN"
"11","ed33772a1caee90939081a3385e863b9","NUM"
"12","X74102cb314b4c3ba9f7dc88e4be09649","DEN"
"13","X2988a53743a50b6579198acf6a5cb70e","DEN"
"14","c3492868939e3115d88cd6bcd520726d","NUM"
"15","X264b149f3c269c37a1309792a8ca5ecc","DEN"
"16","X3c0f10bb5340d817636f203a0e132fdd","NUM"
"17","e9b701f61b7096cb0d7bb24cb2ba68e2","DEN"
"18","e7d24fb78850aa4194897270760d7f9f","DEN"
